0.0100,0.8404
0.0105,0.8405
0.0110,0.8360
0.0115,0.8385
0.0120,0.8295
0.0126,0.8281
0.0132,0.8387
0.0138,0.8517
0.0145,0.8592
0.0151,0.8490
0.0158,0.8371
0.0166,0.8440
0.0174,0.8515
0.0182,0.8317
0.0191,0.8284
0.0200,0.8391
0.0209,0.8508
0.0219,0.8512
0.0229,0.8246
0.0240,0.8001
0.0251,0.8425
0.0263,0.8441
0.0275,0.8576
0.0288,0.8216
0.0302,0.7816
0.0316,0.7598
0.0331,0.7653
0.0347,0.7879
0.0363,0.7991
0.0380,0.8165
0.0398,0.8431
0.0417,0.8704
0.0437,0.8959
0.0457,0.9025
0.0479,0.9300
0.0501,0.9689
0.0525,0.9952
0.0550,1.0000
0.0575,0.9792
0.0603,0.9773
0.0631,1.0208
0.0661,1.0403
0.0692,1.0526
0.0724,1.1702
0.0759,1.4322
0.0794,1.3649
0.0832,1.4942
0.0871,1.6075
0.0912,1.4462
0.0955,1.3980
0.1000,1.7531
0.1047,1.8807
0.1096,1.8958
0.1148,2.0038
0.1202,1.9176
0.1259,2.0118
0.1318,1.9779
0.1380,1.8824
0.1445,1.5940
0.1514,1.4810
0.1585,1.6051
0.1660,1.6440
0.1738,1.7590
0.1820,1.8406
0.1905,1.7155
0.1995,1.7165
0.2089,1.8279
0.2188,1.7452
0.2291,1.7552
0.2399,1.7949
0.2512,1.6648
0.2630,1.8224
0.2754,1.8776
0.2884,1.7504
0.3020,1.7464
0.3162,1.8458
0.3311,1.7497
0.3467,1.7720
0.3631,1.7874
0.3802,1.8119
0.3981,1.8316
0.4169,1.8191
0.4365,1.5812
0.4571,1.5786
0.4786,1.4614
0.5012,1.4626
0.5248,1.3650
0.5495,1.2189
0.5754,1.2359
0.6026,1.1423
0.6310,1.1483
0.6607,1.0871
0.6918,1.0167
0.7244,0.9836
0.7586,0.9805
0.7943,0.9144
0.8318,0.8365
0.8710,0.8499
0.9120,0.7408
0.9550,0.7451
1.0000,0.7096
1.0471,0.7094
1.0965,0.6880
1.1482,0.6240
1.2023,0.6031
1.2589,0.5945
1.3183,0.5704
1.3804,0.5207
1.4454,0.5022
1.5136,0.4590
1.5849,0.4389
1.6596,0.4054
1.7378,0.4491
1.8197,0.4312
1.9055,0.4238
1.9953,0.3793
2.0893,0.3136
2.1878,0.3404
2.2909,0.3385
2.3988,0.2880
2.5119,0.2543
2.6303,0.2263
2.7542,0.1961
2.8840,0.2038
3.0200,0.1886
3.1623,0.1745
3.3113,0.1612
3.4674,0.1450
3.6308,0.1397
3.8019,0.1312
3.9811,0.1120
4.1687,0.1065
4.3652,0.0944
4.5709,0.0894
4.7863,0.0838
5.0119,0.0757
5.2481,0.0660
5.4954,0.0706
5.7544,0.0738
6.0256,0.0707
6.3096,0.0611
6.6069,0.0528
6.9183,0.0480
7.2444,0.0409
7.5858,0.0338
7.9433,0.0283
8.3176,0.0248
8.7096,0.0228
9.1201,0.0215
9.5499,0.0199
10.0000,0.0176
