0.01;0.8015625
0.0105;0.807890625
0.011;0.81421875
0.0115;0.820546875
0.012;0.826875
0.0126;0.83446875
0.0132;0.8420625
0.0138;0.84965625
0.0145;0.858515625
0.0151;0.866109375
0.0158;0.87496875
0.0166;0.88509375
0.0174;0.89521875
0.0182;0.90534375
0.0191;0.916734375
0.02;0.928125
0.0209;0.939515625
0.0219;0.952171875
0.0229;0.964828125
0.024;0.97875
0.0251;0.992671875
0.0263;1.007859375
0.0275;1.023046875
0.0288;1.0395
0.0302;1.05721875
0.0316;1.0749375
0.0331;1.093921875
0.0347;1.114171875
0.0363;1.134421875
0.038;1.1559375
0.0398;1.17871875
0.0417;1.202765625
0.0437;1.228078125
0.0457;1.253390625
0.0479;1.281234375
0.0501;1.309078125
0.0525;1.339453125
0.055;1.37109375
0.0575;1.402734375
0.0603;1.438171875
0.0631;1.473609375
0.0661;1.511578125
0.0692;1.5508125
0.0724;1.5913125
0.0759;1.635609375
0.0794;1.67990625
0.0832;1.6875
0.0871;1.6875
0.0912;1.6875
0.0955;1.6875
0.1;1.6875
0.1047;1.6875
0.1096;1.6875
0.1148;1.6875
0.1202;1.6875
0.1259;1.6875
0.1318;1.6875
0.138;1.6875
0.1445;1.6875
0.1514;1.6875
0.1585;1.6875
0.166;1.6875
0.1738;1.6875
0.182;1.6875
0.1905;1.6875
0.1995;1.6875
0.2089;1.6875
0.2188;1.6875
0.2291;1.6875
0.2399;1.6875
0.2512;1.6875
0.263;1.6875
0.2754;1.6875
0.2884;1.6875
0.302;1.6875
0.3162;1.6875
0.3311;1.6875
0.3467;1.6875
0.3631;1.6875
0.3802;1.6875
0.3981;1.6875
0.4169;1.619093308
0.4365;1.546391753
0.4571;1.476700941
0.4786;1.41036356
0.5012;1.346767757
0.5248;1.286204268
0.5495;1.228389445
0.5754;1.173096976
0.6026;1.120146034
0.631;1.069730586
0.6607;1.021643711
0.6918;0.975715525
0.7244;0.931805632
0.7586;0.889796994
0.7943;0.84980486
0.8318;0.811493147
0.871;0.774971297
0.912;0.740131579
0.955;0.706806283
1;0.675
1.0471;0.64463757
1.0965;0.615595075
1.1482;0.587876677
1.2023;0.561423937
1.2589;0.536182381
1.3183;0.51202306
1.3804;0.488988699
1.4454;0.466998755
1.5136;0.44595666
1.5849;0.425894378
1.6596;0.406724512
1.7378;0.388422143
1.8197;0.370940265
1.9055;0.354237733
1.9953;0.338294993
2.0893;0.323074714
2.1878;0.308529116
2.2909;0.294644026
2.3988;0.281390695
2.5119;0.267447837
2.6303;0.243912025
2.7542;0.222460461
2.884;0.202886556
3.02;0.18502478
3.1623;0.168747616
3.3113;0.153902872
3.4674;0.140357587
3.6308;0.128008594
3.8019;0.116746106
3.9811;0.106472538
4.1687;0.097105202
4.3652;0.088559568
4.5709;0.080768188
4.7863;0.073662075
5.0119;0.067179843
5.2481;0.061268829
5.4954;0.055878554
5.7544;0.050961674
6.0256;0.046477546
6.3096;0.042387727
6.6069;0.038658795
6.9183;0.035256971
7.2444;0.032154291
7.5858;0.029325201
7.9433;0.026744954
8.3176;0.024392017
8.7096;0.022245766
9.1201;0.02028825
9.5499;0.01850317
10;0.016875
