0,0
0.005,0.004675221
0.01,0.020303815
0.015,0.049290183
0.025,0.156953836
0.03,0.240439918
0.04,0.478742593
0.05,0.828181941
0.07,1.93741143
0.09,3.462334822
0.1,4.274487435
0.125,6.678886617
0.15,9.617596729
0.175,13.09061777
0.2,17.09794974
0.225,21.63959264
0.25,26.71554647
0.275,32.32581123
0.3,38.47038691
0.35,52.36247108
0.4,68.39179896
0.45,76.94077383
0.5001,85.50684665
0.75,128.234623
1,170.9794974
1.25,213.7243717
1.5,256.4692461
1.75,299.2141204
2.001,342.1299743
2.25,384.7038691
2.5001,427.4487435
2.75,427.4487435
3,427.4487435
3.5,427.4487435
4,427.4487435
5,427.4487435
