0.00,0.675
0.005,0.738
0.01,0.802
0.02,0.865
0.03,0.991
0.03,1.055
0.04,1.181
0.05,1.308
0.07,1.561
0.09,1.688
0.10,1.688
0.13,1.688
0.15,1.688
0.18,1.688
0.20,1.688
0.23,1.688
0.25,1.688
0.28,1.688
0.30,1.688
0.35,1.688
0.40,1.688
0.45,1.500
0.50,1.350
0.75,0.900
1.00,0.675
1.25,0.540
1.50,0.450
1.75,0.386
2.00,0.337
2.25,0.300
2.50,0.270
2.75,0.223
3.00,0.188
3.50,0.138
4.00,0.105
5.00,0.068
